Epoch 171/200, Loss: 35.296879, F_score: 0.327748, Accuracy: 0.421970
Epoch 172/200, Loss: 35.132530, F_score: 0.307213, Accuracy: 0.415250
Epoch 173/200, Loss: 35.201500, F_score: 0.336593, Accuracy: 0.425247
Epoch 174/200, Loss: 36.079372, F_score: 0.257637, Accuracy: 0.365045
Epoch 175/200, Loss: 35.246532, F_score: 0.321437, Accuracy: 0.418083
Epoch 176/200, Loss: 34.920227, F_score: 0.342191, Accuracy: 0.437354
Epoch 177/200, Loss: 34.797314, F_score: 0.367163, Accuracy: 0.463012
Epoch 178/200, Loss: 35.330448, F_score: 0.335964, Accuracy: 0.419916
Epoch 179/200, Loss: 35.272202, F_score: 0.313007, Accuracy: 0.408530
Epoch 180/200, Loss: 36.195549, F_score: 0.232392, Accuracy: 0.343663
Epoch 181/200, Loss: 35.336445, F_score: 0.330346, Accuracy: 0.424636
Epoch 182/200, Loss: 34.891403, F_score: 0.366826, Accuracy: 0.464567
Epoch 183/200, Loss: 34.785461, F_score: 0.331947, Accuracy: 0.433467
Epoch 184/200, Loss: 35.135731, F_score: 0.296456, Accuracy: 0.403643
Epoch 185/200, Loss: 35.267849, F_score: 0.283826, Accuracy: 0.388537
Epoch 186/200, Loss: 35.016605, F_score: 0.304329, Accuracy: 0.411863
Epoch 187/200, Loss: 34.827141, F_score: 0.301670, Accuracy: 0.414528
Epoch 188/200, Loss: 34.843113, F_score: 0.329813, Accuracy: 0.427469
Epoch 189/200, Loss: 34.854378, F_score: 0.298800, Accuracy: 0.409197
Epoch 190/200, Loss: 34.913467, F_score: 0.359819, Accuracy: 0.452738
Epoch 191/200, Loss: 34.790947, F_score: 0.306287, Accuracy: 0.418361
Epoch 192/200, Loss: 34.896744, F_score: 0.344979, Accuracy: 0.438576
Epoch 193/200, Loss: 35.329784, F_score: 0.277808, Accuracy: 0.385316
Epoch 194/200, Loss: 35.149242, F_score: 0.311707, Accuracy: 0.414195
Epoch 195/200, Loss: 35.181427, F_score: 0.301906, Accuracy: 0.410752
Epoch 196/200, Loss: 35.474480, F_score: 0.301399, Accuracy: 0.401533
Epoch 197/200, Loss: 36.192066, F_score: 0.226564, Accuracy: 0.351438
Epoch 198/200, Loss: 35.846481, F_score: 0.261290, Accuracy: 0.379262
Epoch 199/200, Loss: 35.714977, F_score: 0.268779, Accuracy: 0.393313
Epoch 200/200, Loss: 35.356277, F_score: 0.292716, Accuracy: 0.411474
