,Timestamp,F_score,Accuracy,loss,batch_size,learning_rate,Training_DATASET,Continue_with_last_saved_model
92,2020-10-28 15:12:26.903546,0.6257615983934794,0.6008387998709539,273.73514,400,0.001,OPPORTUNITY - 18 classes,True
93,2020-10-28 15:12:52.245639,0.7761667542711389,0.7598881600172062,270.31277,400,0.001,OPPORTUNITY - 18 classes,True
94,2020-10-28 15:13:17.357951,0.7270714394621943,0.7114098290138725,269.02066,400,0.001,OPPORTUNITY - 18 classes,True
95,2020-10-28 15:13:43.731284,0.7533230387801148,0.7297343800408647,269.09653,400,0.001,OPPORTUNITY - 18 classes,True
96,2020-10-28 15:14:09.172058,0.7842828114766107,0.7776104957522314,270.23816,400,0.001,OPPORTUNITY - 18 classes,True
97,2020-10-28 15:14:35.669566,0.6951433031099222,0.6625658672975588,269.20224,400,0.001,OPPORTUNITY - 18 classes,True
98,2020-10-28 15:15:01.900198,0.7883959196785127,0.7817614797290031,268.35995,400,0.001,OPPORTUNITY - 18 classes,True
99,2020-10-28 15:15:28.200163,0.7373444416233109,0.7168942897085708,268.9358,400,0.001,OPPORTUNITY - 18 classes,True
100,2020-10-28 15:15:54.732787,0.7902419412825005,0.7805570491450694,270.57394,400,0.001,OPPORTUNITY - 18 classes,True
101,2020-10-28 15:16:20.461342,0.574015055739527,0.5469835466179159,274.9875,400,0.001,OPPORTUNITY - 18 classes,True
102,2020-10-28 15:16:46.417918,0.7811243582149918,0.7645768362189482,273.35052,400,0.001,OPPORTUNITY - 18 classes,True
103,2020-10-28 15:17:12.473090,0.5729014691103078,0.5503172384127325,274.67596,400,0.001,OPPORTUNITY - 18 classes,True
104,2020-10-28 15:17:38.985857,0.765932151436603,0.748489084847833,272.0153,400,0.001,OPPORTUNITY - 18 classes,True
105,2020-10-28 15:18:04.676303,0.6322583970045735,0.6009893536939456,278.12222,400,0.001,OPPORTUNITY - 18 classes,True
106,2020-10-28 15:18:30.995279,0.7611237434596382,0.7475857619098828,272.4726,400,0.001,OPPORTUNITY - 18 classes,True
107,2020-10-28 15:18:56.370728,0.41091543053556573,0.3681471125927519,288.42172,400,0.001,OPPORTUNITY - 18 classes,True
108,2020-10-28 15:19:22.786961,0.6841039808784141,0.6448865469405313,286.9533,400,0.001,OPPORTUNITY - 18 classes,True
109,2020-10-28 15:19:49.016079,0.681065534103539,0.6604150983976772,282.66202,400,0.001,OPPORTUNITY - 18 classes,True
110,2020-10-28 15:20:14.732467,0.6078858577141348,0.5651790515109152,275.01593,400,0.001,OPPORTUNITY - 18 classes,True
111,2020-10-28 15:20:40.609590,0.7582366098226574,0.7482094848908485,269.38644,400,0.001,OPPORTUNITY - 18 classes,True
112,2020-10-28 15:21:06.463570,0.7180666185739712,0.6940316163028283,269.50827,400,0.001,OPPORTUNITY - 18 classes,True
113,2020-10-28 15:21:32.297568,0.7712553648227808,0.7517367458866545,273.97006,400,0.001,OPPORTUNITY - 18 classes,True
114,2020-10-28 15:21:58.581156,0.6972895249763241,0.6773416496397462,275.08243,400,0.001,OPPORTUNITY - 18 classes,True
115,2020-10-28 15:22:25.028362,0.7816817423064149,0.7609850521561459,270.5225,400,0.001,OPPORTUNITY - 18 classes,True
116,2020-10-28 15:22:51.094124,0.6966979031522317,0.6782019571996989,269.01584,400,0.001,OPPORTUNITY - 18 classes,True
117,2020-10-28 15:23:16.899874,0.7932000249807867,0.7832670179589203,270.6386,400,0.001,OPPORTUNITY - 18 classes,True
118,2020-10-28 15:23:43.070472,0.6869772529294332,0.6652543284224111,267.5999,400,0.001,OPPORTUNITY - 18 classes,True
119,2020-10-28 15:24:08.796474,0.7809073085063961,0.7693945585546833,267.4355,400,0.001,OPPORTUNITY - 18 classes,True
0,2020-10-28 16:02:43.161435,0.7764774998922706,0.7676309280567803,264.5303,400,0.001,OPPORTUNITY - 18 classes,True
1,2020-10-28 16:03:07.413473,0.775993646717958,0.7619098827830949,265.88055,400,0.001,OPPORTUNITY - 18 classes,True
2,2020-10-28 16:03:33.108276,0.7980467344210183,0.7933541240993656,265.60065,400,0.001,OPPORTUNITY - 18 classes,True
3,2020-10-28 16:03:57.830459,0.6834518586488061,0.6454242391655016,268.67725,400,0.001,OPPORTUNITY - 18 classes,True
